movie,year,tmdb_link,tmdb_id,genres,normalized_title,family_id
My Man Godfrey,1936,https://www.themoviedb.org/movie/13562,13562,Comedy,my man godfrey,FAM0122
My Man Godfrey,1957,https://www.themoviedb.org/movie/52470,52470,Comedy,my man godfrey,FAM0122
The Plainsman,1936,https://www.themoviedb.org/movie/43885,43885,"Western, War, Romance",plainsman,FAM0123
The Plainsman,1966,https://www.themoviedb.org/movie/238124,238124,Western,plainsman,FAM0123
Pépé le Moko,1937,https://www.themoviedb.org/movie/26252,26252,"Drama, Crime, Romance",p p le moko,FAM0124
Algiers,1938,https://www.themoviedb.org/movie/22657,22657,"Drama, Mystery, Romance, Crime",algiers,FAM0124
The Hurricane,1937,https://www.themoviedb.org/movie/77250,77250,"Action, Adventure, Drama, Romance",hurricane,FAM0125
Hurricane,1979,https://www.themoviedb.org/movie/75162,75162,"Drama, Action, Romance",hurricane,FAM0125
Lost Horizon,1937,https://www.themoviedb.org/movie/3598,3598,"Adventure, Fantasy, Drama, Romance",lost horizon,FAM0126
Lost Horizon,1973,https://www.themoviedb.org/movie/97519,97519,"Adventure, Drama, Fantasy, Music, Romance",lost horizon,FAM0126
Love from a Stranger,1937,https://www.themoviedb.org/movie/29288,29288,"Mystery, Thriller, Romance",love from a stranger,FAM0127
Love from a Stranger,1947,https://www.themoviedb.org/movie/72548,72548,Drama,love from a stranger,FAM0127
Love Is News,1937,https://www.themoviedb.org/movie/82239,82239,"Romance, Comedy",love is news,FAM0128
That Wonderful Urge,1948,https://www.themoviedb.org/movie/143170,143170,"Romance, Comedy",that wonderful urge,FAM0128
Night Must Fall,1937,https://www.themoviedb.org/movie/91727,91727,"Mystery, Thriller",night must fall,FAM0129
Night Must Fall,1964,https://www.themoviedb.org/movie/55943,55943,"Thriller, Horror",night must fall,FAM0129
The Prisoner of Zenda,1937,https://www.themoviedb.org/movie/43867,43867,"Romance, Adventure, Drama",prisoner of zenda,FAM0130
The Prisoner of Zenda,1952,https://www.themoviedb.org/movie/28431,28431,Adventure,prisoner of zenda,FAM0130
Snow White and the Seven Dwarfs,1937,https://www.themoviedb.org/movie/408,408,"Fantasy, Animation, Family",snow white and the seven dwarfs,FAM0131
Snow White,2025,https://www.themoviedb.org/movie/447273,447273,"Family, Fantasy",snow white,FAM0131
Brother Rat,1938,https://www.themoviedb.org/movie/114838,114838,Comedy,brother rat,FAM0132
About Face,1952,https://www.themoviedb.org/movie/50929,50929,"Comedy, Romance",about face,FAM0132
The Buccaneer,1938,https://www.themoviedb.org/movie/115425,115425,"Adventure, Drama, Romance, History",buccaneer,FAM0133
The Buccaneer,1958,https://www.themoviedb.org/movie/4933,4933,"Adventure, Drama, War, History",buccaneer,FAM0133
Ferdinand the Bull,1938,https://www.themoviedb.org/movie/47166,47166,"Animation, Comedy, Family",ferdinand the bull,FAM0134
Ferdinand,2017,https://www.themoviedb.org/movie/364689,364689,"Animation, Family, Adventure, Comedy",ferdinand,FAM0134
The Lady Vanishes,1938,https://www.themoviedb.org/movie/940,940,"Mystery, Thriller",lady vanishes,FAM0135
The Lady Vanishes,1979,https://www.themoviedb.org/movie/4706,4706,"Mystery, Thriller, Comedy, Romance",lady vanishes,FAM0135
A Yank at Oxford,1938,https://www.themoviedb.org/movie/114079,114079,"Drama, Romance",yank at oxford,FAM0136
Oxford Blues,1984,https://www.themoviedb.org/movie/30231,30231,"Comedy, Drama",oxford blues,FAM0136
