Original,Remake(s)
My Sister Eileen (1942),My Sister Eileen (1955)
Mystery of the Wax Museum (1933),House of Wax (1953)
The Narrow Margin (1952),Narrow Margin (1990)
Nathalie... (2003),Chloe (2009)
Neuf mois (1994),Nine Months (1995)
Never the Twain Shall Meet (1925),Never the Twain Shall Meet (1931)
Night and the City (1950),Night and the City (1992)
Night Must Fall (1937),Night Must Fall (1964)
Night of the Demons (1988),Night of the Demons (2009)
A Nightmare on Elm Street (1984),A Nightmare on Elm Street (2010)
Nightwatch (1994),Nightwatch (1997)
Ninotchka (1939),Silk Stockings (1957)
Nosferatu (1922),Nosferatu the Vampyre (1979)
,Nosferatu (2023)
,Nosferatu (2024)
Nueve Reinas (2000),Criminal (2004)
,Gulumaal: The Escape (2009)
,All the Best (2012)
The Nutty Professor (1963),The Nutty Professor (1996)
Ocean's 11 (1960),Ocean's Eleven (2001)
The Old Dark House (1932),The Old Dark House (1963)
Oldboy (2003),Oldboy (2013)
,Zinda (2006)
The Omen (1976),The Omen (2006)
One Hundred and One Dalmatians (1961),101 Dalmatians (1996)
One Missed Call (2004),One Missed Call (2008)
One Sunday Afternoon (1933),The Strawberry Blonde (1941)
Open Your Eyes (1997),Vanilla Sky (2001)
Oscar (1967),Oscar (1991)
La Otra (1945),Dead Ringer (1964)
The Out-of-Towners (1970),The Out-of-Towners (1999)
Out of the Past (1947),Against All Odds (1984)
Paid in Full (1914),Paid in Full (1919)
The Paleface (1948),The Shakiest Gun in the West (1968)
Panhandle (1948),The Texican (1966)
Papillon (1973),Papillon (2017)
Pardon Mon Affaire (1976),The Woman in Red (1984)
"Parlor, Bedroom and Bath (1920)","Parlor, Bedroom and Bath (1931)"
The Parent Trap (1961),The Parent Trap (1998)
Pathfinder (1987),Pathfinder (2006)
Pépé le Moko (1937),Algiers (1938)
Le Père Noël est une ordure (1982),Mixed Nuts (1994)
Pete's Dragon (1977),Pete's Dragon (2016)
Peter Pan (1953),Peter Pan & Wendy (2023)
The Phantom Carriage (1921),The Phantom Carriage (1958)
Pinocchio (1940),Pinocchio (2022)
Piranha (1978),Piranha (1995)
,Piranha 3D (2010)
The Plainsman (1936),The Plainsman (1966)
Planet of the Apes (1968),Planet of the Apes (2001)
The Plank (1967),The Plank (1979)
Point Blank (1967),The Outfit (1973)
,Payback (1999)
Point Break (1991),Point Break (2015)
Poltergeist (1982),Poltergeist (2015)
Pokémon: The First Movie (1998),Pokémon: Mewtwo Strikes Back – Evolution (2019)
The Poseidon Adventure (1972),The Poseidon Adventure (2005)
,Poseidon (2006)
Premier rendez-vous (1941),Ihr erstes Rendezvous (1955)
The Prisoner of Zenda (1937),The Prisoner of Zenda (1952)
The Private War of Major Benson (1955),Major Payne (1995)
Profumo di donna (1974),Scent of a Woman (1992)
Prom Night (1980),Prom Night (2008)
Psycho (1960),Psycho (1998)
Pulse (2001),Pulse (2006)
Purple Noon (1960),The Talented Mr. Ripley (1999)
Ransom! (1956),Ransom (1996)
Rashomon (1950),The Outrage (1964)
Ready (2008),Ready (2011)
