Movie,Year,TMDB Link,Genre
Dr. Jekyll and Mr. Hyde,1941,https://www.themoviedb.org/movie/3022,"Drama, Horror, Science Fiction"
Dr. M,1990,https://www.themoviedb.org/movie/29177,"Crime, Mystery, Science Fiction"
Dr. Mabuse the Gambler,1922,https://www.themoviedb.org/movie/5998,"Crime, Thriller"
Dumbo,1941,https://www.themoviedb.org/movie/11360,"Animation, Family"
Dumbo,2019,https://www.themoviedb.org/movie/329996,"Family, Fantasy, Adventure"
Eat Drink Man Woman,1994,https://www.themoviedb.org/movie/10451,"Comedy, Drama, Romance"
EDtv,1999,https://www.themoviedb.org/movie/11374,Comedy
Escapade,1935,https://www.themoviedb.org/movie/185543,"Romance, Comedy"
Escape to Victory,1981,https://www.themoviedb.org/movie/17360,"Drama, War"
Everybody Does It,1949,https://www.themoviedb.org/movie/260681,Comedy
Fahrenheit 451,1966,https://www.themoviedb.org/movie/1714,"Drama, Science Fiction"
Fahrenheit 451,2018,https://www.themoviedb.org/movie/401905,"Drama, Science Fiction, Thriller"
Fame,1980,https://www.themoviedb.org/movie/3537,"Drama, Music"
Fame,2009,https://www.themoviedb.org/movie/28665,"Music, Comedy, Drama, Romance"
Fatal Attraction,1987,https://www.themoviedb.org/movie/10998,"Thriller, Drama, Romance"
Father of the Bride,1950,https://www.themoviedb.org/movie/20758,"Comedy, Romance, Drama"
Father of the Bride,1991,https://www.themoviedb.org/movie/11846,"Comedy, Romance, Drama"
Father of the Bride,2022,https://www.themoviedb.org/movie/746419,"Romance, Comedy, Drama"
Fathers' Day,1997,https://www.themoviedb.org/movie/12499,"Comedy, Family"
Ferdinand,2017,https://www.themoviedb.org/movie/364689,"Animation, Family, Adventure, Comedy"
Ferdinand the Bull,1938,https://www.themoviedb.org/movie/47166,"Animation, Comedy, Family"
Fingers,1978,https://www.themoviedb.org/movie/63435,"Drama, Action, Thriller, Crime"
First a Girl,1935,https://www.themoviedb.org/movie/190165,Comedy
Five Came Back,1939,https://www.themoviedb.org/movie/65858,"Adventure, Drama"
